email,name
hnganga12@gmail.com,KABIRO VENTURES SUPPLIES
sales@orthodyna.com,Orthodynamic Limited
LIDAVETERPRISES@GMAIL.COM,LIDAV ENTERPRISES LIMITED
info@transafricamedical.co.ke,Transafrica Medical
info@nesvax.co.ke,Nesvax Innovations Ltd
info@protectivecustody.co.ke,Protective custody limited
sales@impactchemicals.co.ke,IMPACT CHEMICALS LIMITED
holmenterprisesltd@gmail.com,HOLM ENTERPRISES LIMITED
jalidinvestmentslimited@gmail.com,JALID INVESTMENTS LIMITED
in-vitro@in-vitro.co.ke,IN-VITRO DIAGNOSTICS (EA) LIMITED
info@mecstruengineering.co.ke,Mecstru Engineering Company Ltd
ruth.kiarie@africancotton.com,African Cotton Industries Ltd
dengxiaowei@crceg-int.com,CRJE (EAST AFRICA) LIMITED
ngachsimon@gmail.com,test
INFO@BIOTECLABK.CO.KE,BIOTEC LABORATORIES (K) LTD
nelson.mandela@dawalifesciences.com,DAWA LIMITED
sales@caperinamedical.co.ke,Caperina Medical Supplies Limited
sales@medionics.co.ke,MEDIONICS HEALTHCARE LTD
info@faram-ea.com,FARAM EAST AFRICA LIMITED
shelina@ripplepharma.com,RIPPLE PHARMACEUTICALS LIMITED
admin@renaissancehealth-kenya.com,RENAISSANCE HEALTH  LIMITED
shelina@ripplepharma.com,RIPPLE PHARMACEUTICALS LIMITED
SALES@LPTECHNOLOGY.CO.KE,LED POWER TECHNOLOGIES (EA) K LTD
kanchannarang@yahoo.com,Sai Zara company Ltd
julliasambeko@broadcom.co.ke,Broadband Communication Network Ltd
INFO@PROSPECTUS.CO.KE,PROSPECTUS THERAPEUTICS LTD
surgimail@surgilinksltd.com,SURGILINKS LTD
smallestcog53@gmail.com,smallest cog enterprise
sypsan@yahoo.com,SYPSAN ENTERPRISES
info@cyteksolar.com,Cytek Solar Limited
info@omsaidistributors.com,OMSAI DISTRIBUTORS LIMITED
euroxpharmaceuticals@hotmail.com,EUROX PHARMACEUTICALS LIMITED
medraylimited@gmail.com,Medray Healthcare Limited
info@digitalsquadcreations.co.ke,Digital Squad Creations Limited
info@frikana.co.ke,FRIKANA FLIGHT SERVICES LTD
aumpharmaltd@gmail.com,AUM PHARMACEUTICALS LTD
