,name,email
401,Universal Corporate Solutions Ltd,Info@unicos.co.ke
402,CHIOMA ENTERPRISES LIMITED,chiomaenterprises@gmail.com
403,NEXT TECHNOLOGIES LIMITED,info@next.co.ke
404,Naseeh holdings limited,NASEEHLIMITED21@YAHOO.COM
405,Biet holding limited,Bietholdingsltd21@yahoo.com
406,Bayete Holdings K Ltd,info@bayeteholdings.com
407,Danka Africa Limited,info@dankaafrica.com
408,Danka Africa Limited,info@dankaafrica.com
409,Salaam Technology Limited,info@salaam.ke
410,Truesurf Kenya Limited,admin@truesurf.co.ke
411,Serianu Limited,info@serianu.com
412,ARGENT CYBER X AFRICA LIMITED,edwin.k@cyberx.co.ke
413,ELEPHANT TECHNOLOGY LIMITED,eastafricapanda@gmail.com
414,STAGS LIMITED,omar@stagslimited.co.ke
415,Tritel Technologies Limited,info@tritel.co.ke
416,TECHSOURCE POINT LTD,info@techsource.co.ke
417,Cloud Productivity Solutions Limited,info@cloudproductivity-solutions.com
418,Cloud Productivity Solutions Limited,info@cloudproductivity-solutions.com
419,STAGS LIMITED,omar@stagslimited.co.ke
420,Cloud IT Limited,faith@cloudit.africa
381,GOLDEN GATE CARGO LIMITED,ggcnbi@hotmail.com
382,Progressive Fibre Ltd,info@progressive.co.ke
383,YABRA TECHNOLOGIES LTD,info@yabratechnologies.com
384,ACTS BUSINESS SYSTEMS LTD,abizysystems@gmail.com
385,Cynergy Technologies Limited,info@cynergy.co.ke
386,Maars Technologies Ltd,maarstech@gmail.com
387,Truesurf Kenya Limited,admin@truesurf.co.ke
388,The Copy Cat Limited,tenders@copycatgroup.com
389,Konvergenz Network Solutions Limited,info@kns.co.ke
390,COMPUTERWAYS LIMITED,info@computerways.co.ke
391,VILCOM NETWORKS LTD,info@vilcom.co.ke
392,MODERN INTERGRATED BUSINESS SOLUTIONS LTD,info@mibskenya.co.ke
393,Eastra Solutions,info@eastrasolutions.co.ke
394,TECHLOAD LIMITED,INFO@TECHLOAD.CO.KE
395,PEREGRINE EAST AFRICA LTD,info@peregrineafricaltd.co.ke
396,Coresys Solutions Ltd,info@coresys.co.ke
397,AMBAND LIMITED,info@amband.co.ke
398,Novel Technologies EA Ltd,pndolo@novel.co.ke
399,AMBAND LIMITED,info@amband.co.ke
400,Universal Corporate Solutions Ltd,Info@unicos.co.ke
361,LociAfrica Limited,dwambua@lociafrica.co.ke
362,POWERSOURCE TECHNOLOGIES CO LTD,sales@powersourcetech.com
363,Com Twenty One Limited,info@com21.co.ke
364,BETTER SHORT MESSAGES SERVICES LIMITED,info@bettersms.net
365,Verossa Ventures ltd,verossaventures@gmail.com
366,Com Twenty One Limited,info@com21.co.ke
367,Davemark solutions ltd,sales@davemarksolutions.co.ke
368,Cloudlogic Limited,info@cloudlogic.co.ke
369,Eclectics International Limited,admin@eclectics.io
370,Eclectics International Limited,admin@eclectics.io
371,Eclectics International Limited,admin@eclectics.io
372,TOTAL SOLUTIONS LIMITED,info@totalsolutions.co.ke
373,COMPUTERWAYS LIMITED,info@computerways.co.ke
374,ACTS BUSINESS SYSTEMS LIMITED,info@absltd.co.ke
375,COMPUTERWAYS LIMITED,info@computerways.co.ke
376,Liquid Telecommunications Kenya Limited,kenyatenders@liquidtelecom.com
377,COMPTON LIMITED,info@compton.co.ke
378,ASBEN LIMITED,parthia23@gmail.com
