email,name
sales@advacarepharma.com,Advacare
info@betacare.co.ke,Beta Healthcare
sphinx@sphinx.co.ke,Sphinx
sales@aster-health.com,Aster Health
info@biodeal.co.ke,Biodeal
info@biopharmaltd.com,Bio Pharma
info@kenyamed-engineering.com,Kenya Med Engineering
servicedesk@ctgafrica.com,CTG Africa
info@ramco-group.com,RAMCO
julius@bitbiz.co.ke,BitBiz
ben@bitbiz.co.ke,BitBiz
razvan.barsan@sap.com,SAP
info@dsl.ke,DSL
csd@ictconsultantskenya.com,ICT Consultants
info@ict-a.com,ICT Africa Consulting Services
info@empire.co.ke,Empire Microsystems 
sales@itlweb.com,Interactive Technology
info@blueweb.co.ke,Blueweb Technologies
info@octopusict.com,Octopus ICT Solutions
info@symphony.co.ke,Symphony Technologies 
info@bostechsolutions.net,Bostech Solutions
sales@healthylife.co.ke,Healthy Life Pharmaceuticals
info@pharmaplus.co.ke,Pharma Plus Ltd
supply@medlinelimited.co.ke,Medline Kenya Limited
contact@pharmakenya.co.ke,Pharma Kenya Ltd
sales@bountypharma.co.ke,Bounty Pharmaceuticals
info@kenyamed.co.ke,Kenya Medical Supplies Agency
orders@suppliesafrica.co.ke,Supplies Africa Ltd
sales@lyonsmedicals.co.ke,Lyons Medicals Ltd
service@africalinen.co.ke,Africa Linen Supplies
info@hospitalmattress.co.ke,Hospital Mattress Ltd
support@vitalpharma.co.ke,Vital Pharma Solutions
contact@eastafricalinen.co.ke,East Africa Linen & Supplies
service@globalmed.co.ke,Global Medical Supplies
orders@africamedica.co.ke,Africa Medica Supplies
